2026-07-14 08:15:03 | INFO     | cluster_heartbeat.normalization | Loaded scaler from /home/claude/cluster-heartbeat/checkpoints/feature_scaler.pkl
2026-07-14 08:15:03 | INFO     | cluster_heartbeat.inference_pipeline | ClusterHeartbeatPipeline initialized (all checkpoints loaded)
2026-07-14 08:15:03 | INFO     | cluster_heartbeat.preprocessing | Preprocessing 11520 raw rows
2026-07-14 08:15:03 | INFO     | cluster_heartbeat.preprocessing | Preprocessing complete: 11520 clean rows
2026-07-14 08:15:03 | INFO     | cluster_heartbeat.windowing | Generated 2284 windows (size=30, stride=5) from 4 GPUs
2026-07-14 08:15:03 | INFO     | cluster_heartbeat.scheduler | Generated 4 scheduling recommendations
2026-07-14 08:15:03 | WARNING  | cluster_heartbeat.scheduler | Recommending drain for 1 high-risk GPUs: ['gpu-003']
2026-07-14 08:15:03 | INFO     | cluster_heartbeat.cost_optimizer | Detected 0 idle GPUs (util < 5.0%)
2026-07-14 08:15:03 | INFO     | cluster_heartbeat.cost_optimizer | Cost optimization: 0/4 idle GPUs, est. savings $0.00/window
2026-07-14 08:15:03 | INFO     | cluster_heartbeat.dashboard_json_builder | Built dashboard payload: 4 GPU panels, 1 alerts
2026-07-14 08:15:03 | INFO     | cluster_heartbeat.preprocessing | Preprocessing 11520 raw rows
2026-07-14 08:15:03 | INFO     | cluster_heartbeat.preprocessing | Preprocessing complete: 11520 clean rows
2026-07-14 08:15:03 | INFO     | cluster_heartbeat.windowing | Generated 2284 windows (size=30, stride=5) from 4 GPUs
2026-07-14 08:15:10 | INFO     | cluster_heartbeat.ingestion | Loaded 322560 rows from /home/claude/cluster-heartbeat/data_store/raw/synthetic_trace.csv
2026-07-14 08:15:10 | INFO     | cluster_heartbeat.preprocessing | Preprocessing 322560 raw rows
2026-07-14 08:15:11 | INFO     | cluster_heartbeat.preprocessing | Preprocessing complete: 322560 clean rows
2026-07-14 08:15:15 | INFO     | cluster_heartbeat.windowing | Generated 64352 windows (size=30, stride=5) from 32 GPUs
2026-07-14 08:15:16 | INFO     | cluster_heartbeat.normalization | Fit StandardScaler on 64352 windows (1930560 timesteps, 13 features)
2026-07-14 08:15:16 | INFO     | cluster_heartbeat.normalization | Saved scaler to /home/claude/cluster-heartbeat/checkpoints/feature_scaler.pkl
2026-07-14 08:15:16 | INFO     | cluster_heartbeat.pca_embedding | Fit PCA with 8 components, explained variance ratio = 0.523
2026-07-14 08:15:16 | INFO     | cluster_heartbeat.pca_embedding | Saved PCA embedder to /home/claude/cluster-heartbeat/checkpoints/pca_embedding.pkl
2026-07-14 08:15:17 | INFO     | cluster_heartbeat.anomaly_detector | Fit IsolationForest on 64352 embeddings (contamination=0.03)
